"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name"
"Acke et al.",2006,"yes","review","Ireland","no","Europe","culture broth and plate, PCR confirm","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Acke et al.",2006,"yes","review","Ireland","no","Europe","culture broth and plate, PCR confirm","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Acke et al.",2009,"yes","review","Ireland, Dublin","no","Europe","culture broth and plate, PCR confirm","Conventional",NA,NA,NA,NA,"Animal","Mammal","Carnivora","Felidae","Felis","Cat",""
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","Animal","Mammal","Primates","Atelidae","Alouatta","Colombian red howler","Alouata siniculus"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","","","","","","Common opossum","Didelthis marsupialias insularis"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","Animal","Mammal","Rodentia","Cuniculidae","Cuniculus","Lowland paca","Agouti paca"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","Animal","Mammal","Rodentia","Cuniculidae","Cuniculus","Lowland paca","Agouti paca"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","Animal","Bird","Psittaciformes","Psittacidae","Amazona","Orange-winged amazon","Amazona amazonica"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak","Animal","Bird","Columbiformes","Columbidae","Columba","Pigeon","Columba spp."
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak",NA,"Mammal","","","","Red rumped agouti","Dasyprocta leporina"
"Adesiyun et al.",1998,"yes","review","Trinidad","no","North America","biochemical, plate culture","Conventional","ND","ND",NA,"streak",NA,"Mammal","","","","Red rumped agouti","Dasyprocta leporina"
