"Reference","Year","peer.review","search","Location","USA","Global.Region","Method","Conventional..Molecular..or.Immunologic","MDL.ALOD.LOD","Below.MDL","MDL.units","Sample.Volume","kingdom","class","order","family","genius","Animal.common.name","Animal.Latin.Name","X","Free.captive","Pathogen1"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Gruiformes","Rallidae","Fulica","American coot","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Passeriformes","Corvidae","Corvus","American crow","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Falconiformes","Falconidae","Falco","American kestrel","","","free","Giardia spp"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Passeriformes","Turdidae","Turdus","American robin","","","free","Giardia spp"
"Cox et al.",2005,"yes","Web of Science","Australia, Sydney Watershed","no","Western Pacific"," microscope count","Conventional","3",NA,"","0.5g","Animal","Mammal","Rodentia","Muridae","Rattus","Australian bush rat","Rattus fuscipes","","free","Giardia"
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g","Animal","Bird","Columbiformes","Columbidae","Patagioenas","Band-tailed pigeon","","","free","Giardia spp"
"Lohmus et al.",2013,"yes","Google Scholar","Sweden, Uppsala, rural dwellings","no","Europe","immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)","Conventional",NA,NA,"","1 g","Animal","Mammal","Rodentia","Cricetidae","Myodes","Bank vole","Myodes glareolus)","","free","Giardia sp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","","Barn owl","","","","","free","Giardia spp"
"Ebani et al.",2021,"yes","Web of Science","Italy, Central Italy","no","Europe","PCR (GDHeF/GDHiF, 432 bp)","Molecular",NA,NA,"","25 mg",NA,"Bird","","","","","","Multiple different wild birds.","free","Giardia spp."
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","","","","","","Northern flicker and mockingbird","free","Giardia spp"
"Kowalewski et al.",2011,"yes","Google Scholar","Argentina, Cerrito/San Cayetano ","no","South America","Microscope, Direct Immunofluorescent","Conventional",NA,NA,"",NA,"Animal","Mammal","Primates","Atelidae","Alouatta","Black howler","Alouatta caraya","","free","Giardia sp. "
"Kowalewski et al.",2011,"yes","Google Scholar","Argentina, Estacion Biologica Corrientes-Biological Field Station Corrientes","no","South America","Microscope, Direct Immunofluorescent","Conventional",NA,NA,"",NA,"Animal","Mammal","Primates","Atelidae","Alouatta","Black howler","Alouatta caraya","","free","Giardia sp. "
"Kowalewski et al.",2011,"yes","Google Scholar","Argentina, Isla Brasilera","no","South America","Microscope, Direct Immunofluorescent","Conventional",NA,NA,"",NA,"Animal","Mammal","Primates","Atelidae","Alouatta","Black howler","Alouatta caraya","","free","Giardia sp. "
"Siembieda et al.",2011,"yes","Google Scholar","USA, California, San Francisco Bay","yes","North America","direct immunofluorescence assay, immunomagnetic separation","Immunologic",NA,NA,"","<5 g",NA,"Bird","","","","Black-crowned night heron","","","free","Giardia spp"
