Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name
Acke et al.,2006,yes,review,Ireland,no,Europe,"culture broth and plate, PCR confirm",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Acke et al.,2006,yes,review,Ireland,no,Europe,"culture broth and plate, PCR confirm",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Acke et al.,2009,yes,review,"Ireland, Dublin",no,Europe,"culture broth and plate, PCR confirm",Conventional,NA,NA,,NA,,Mammal,,,,Cat,
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Colombian red howler,Alouata siniculus
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Common opossum,Didelthis marsupialias insularis
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Lowland paca,Agouti paca
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Lowland paca,Agouti paca
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Avian,,,,Orange-winged amazon,Amazona amazonica
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Avian,,,,Pigeon,Columba spp.
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Red rumped agouti,Dasyprocta leporina
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Mammal,,,,Red rumped agouti,Dasyprocta leporina
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Reptile,,,,Red worm lizard,Red Worm lizard
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Avian,,,,Scarlet macaw,Ara macao
Adesiyun et al.,1998,yes,review,Trinidad,no,North America,"biochemical, plate culture",Conventional,ND,ND,,streak,,Avian,,,,Toucan,Ramphastos toucanas
Ahmed et al. ,2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,3 log10 (1000) gene copies/g feces 2gene copies/reaction ,half MDL,,200 mg,,Mammal,,,Flying fox,,
Ahmed et al. ,2019,yes,Web of Science,"Australia, South East Queensland ",no,Western Pacific,qPCR,Molecular,3 log10 (1000) gene copies/g feces 2gene copies/reaction ,half MDL,,200 mg,,Mammal,Parrot,,,,
Broman et al.,2002,yes,review,"Sweden, Malmo, Pildammsparken",no,Europe,"plate culture, isolates, PCR used for macro restriction profiling",Conventional,NA,NA,,NA,,Avian,,,,Black-headed gull,Larus ridibundus
Casanovas et al.,1995,yes,review,"Spain, Barcelona",no,Europe,"visual, plate culture",Conventional,NA,NA,,NA,,Avian,,,,Pigeon,Columba livia
Drewe et al.,2022,yes,Google Scholar,"South Africa, Cape Town",no,Africa,Standard Method,Conventional,NA,NA,,NA,,Mammal,,,,Chacma baboon,Papio ursinus
European Food Safety Authority,2009,grey literature,review,Germany,no,Europe,Standard Method,Conventional,NA,NA,,NA,,Mammal,,,,Cat,
