Reference,Year,peer review,search,Location,USA,Global Region,Method,"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen1
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,American coot,,,free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,American crow,,,free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,American kestrel,,,free,Giardia spp
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,American robin,,,free,Giardia spp
Cox et al.,2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific, microscope count,Conventional,3,NA,,0.5g,,Mammal,,,,Australian bush rat,Rattus fuscipes,,free,Giardia
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Band-tailed pigeon,,,free,Giardia spp
Lohmus et al.,2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,,Mammal,,,,Bank vole,Myodes glareolus),,free,Giardia sp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,Barn owl,,,,,free,Giardia spp
Ebani et al.,2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (GDHeF/GDHiF, 432 bp)",Molecular,NA,NA,,25 mg,,Bird,,,,,,Multiple different wild birds.,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,,,Northern flicker and mockingbird,free,Giardia spp
Kowalewski et al.,2011,yes,Google Scholar,"Argentina, Cerrito/San Cayetano ",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,,Mammal,,,,Black howler,Alouatta caraya,,free,Giardia sp. 
Kowalewski et al.,2011,yes,Google Scholar,"Argentina, Estacion Biologica Corrientes-Biological Field Station Corrientes",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,,Mammal,,,,Black howler,Alouatta caraya,,free,Giardia sp. 
Kowalewski et al.,2011,yes,Google Scholar,"Argentina, Isla Brasilera",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,,Mammal,,,,Black howler,Alouatta caraya,,free,Giardia sp. 
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Black-crowned night heron,,,free,Giardia spp
Medema,1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,,Bird,,,,Black-headed gull,Larus ridibundus,,free,Giardia ssp.
Cox et al.,2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific, microscope count,Conventional,3,NA,,0.5g,,Mammal,,,,Brown antechinus,Antechinus stuartii,,free,Giardia
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Brown pelican,,,free,Giardia spp
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,,,California deermouse,Peromyscus californicus,,free,Giardia
Kilonzo et al.,2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,,Mammal,,,,California ground squirrel,Spermophilus beecheyi,,free,Giardia
"Binkley, L. E.",2015,Thesis,Google Scholar,"USA, Ohio, Columbus",yes,North America,"ELISA, biochemical, culture broth",Immunologic,NA,NA,,5 g,,Bird,,,,Canada goose,,,free,Giardia
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Bird,,,,Canada goose,,,free,Giardia spp.
Siembieda et al.,2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,,Bird,,,,Canada goose,,,free,Giardia spp
Heitman et al.,2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"microscope, flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Conventional,NA,NA,,NA,,Mammal,,,,Canada lynx,,,free,Giardia spp.
Lowenstein et al.,2020,yes,Web of Science,"Ecuador, Yaruqui, Quito",no,South America,ELISA,Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,domestic,Giardia
McGlade et al.,2003,yes,review,"Australia, Perth",no,Western Pacific,"PCR (RH11, RH4, 130 bp)",Molecular,NA,NA,,2g,,Mammal,,,,Cat,,,domestic,Giardia spp.
Queen et al.,2012,yes,review,"USA, California, Northern California, Davis Vetrinary Hospital",yes,North America,"ELISA, Manufacture instruction, spectrophotometric, 450 nm",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,domestic,Giardia
Queen et al.,2012,yes,review,"USA, California, Northern California, Davis Vetrinary Hospital",yes,North America,"ELISA, Manufacture instruction, spectrophotometric, 450 nm",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,domestic,Giardia
Sabshin et al. ,2012,yes,review,"USA, Florida, Alachua County",yes,North America,"PCR (DQ836339), ELISA",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,free,Giardia spp
Sabshin et al. ,2012,yes,review,"USA, Florida, Alachua County",yes,North America,"PCR (DQ836339), ELISA",Immunologic,95-99% recovery,NA,,NA,,Mammal,,,,Cat,,,free,Giardia spp
Santin et al. ,2006,yes,review,"Colombia, Bogota",no,South America,"PCR (SSU-rDNA, 292 bp), filtration, centrifuge",Molecular,NA,NA,,NA,,Mammal,,,,Cat,,,domestic,Giardia duodenalis 
Spain et al.,2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,domestic,Giardia sp.
Spain et al.,2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,free (animal shelter),Giardia sp.
Spain et al.,2001,yes,review,"USA, New York, Central",yes,North America,"ELISA, microscope, flotation",Immunologic,NA,NA,,NA,,Mammal,,,,Cat,,,domestic and free (animal shelter),Giardia sp.
