"Conventional, Molecular, or Immunologic",MDL/ALOD/LOD,Below MDL,MDL units,Sample Volume,kingdom,class,order,family,genius,Animal common name,Animal Latin Name,,Free/captive,Pathogen name original,Pathogen rename,Pathogen,medium,Presence,Enumerated,Enum Stats,Censored Data,Presence/Absence,Total,percent,Individual Sample,Mean,Geometric mean,Standard deviation,Median,Min,Max,95% low,95% high,units,Notes,Notes,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD
Conventional,NA,NA,,swab,Animal,Bird,,,,Acadian flycatcher,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<10 g,Animal,Mammal,,,,African giant rat,Cricetomys gambianus,,free,Salmonella,Salmonella,Salmonella,feces hunted animals,yes,no,,,1,3,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,swab,Animal,Bird,,Alcidae ,,,"Uria aalge, Cerorhinca monocerata","Common murre 26, Rhinoceros auklet 2",free,Salmonella newport,Salmonella enterica subsp. enterica serovar Newport,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,ND,28,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American coot ,Fulica americana,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,7,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,American coot ,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,2,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,American crow ,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,12,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,American goldfinch,Cardeulis tristis,,free,Salmonella spp.,Salmonella,Salmonella,"feces, cloacal swabs",yes,no,,,ND,25,,,,,,,,,,,,Other species measured but less than 3 samples per species.  Also broken down by bacterial species but not connected to animal.,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,American goldfinch,Carduelis tristis,,free,Salmonella spp.,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,11,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,American goldfinch,Spinus tristis,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,6,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American goldfinch,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,10,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,American kestrel ,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,6,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American magpie,Pica hudsonia,,free,Salmonella enterica,Salmonella enterica,Salmonella enterica (non-typhoid),feces,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American pipit ,Anthus rubescens,,free,Salmonella enterica,Salmonella enterica,Salmonella enterica (non-typhoid),feces,yes,no,,,ND,12,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American redstart,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,American robin,Turdus migratorius,,free,Salmonella spp.,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,American robin,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,13,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American robin,,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,29,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,,,,American tree sparrow,Spizella arborea,,free,Salmonella albany,Salmonella enterica subsp. enterica serovar Albany,Salmonella enterica (non-typhoid),tissue intestines,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,,,,American tree sparrow,Spizella arborea,,free,Salmonella paratyphi A,Salmonella enterica subsp. enterica serovar Paratyphi A,Salmonella enterica (non-typhoid),tissue intestines,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,,,,American tree sparrow,Spizella arborea,,free,Salmonella paratyphi B,Salmonella enterica subsp. enterica serovar Paratyphi B,Salmonella enterica (non-typhoid),tissue intestines,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,,,,American tree sparrow,Spizella arborea,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,1 g ,Animal,Bird,,,,American white ibis,Eudocimus albus,,Free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,55,333,,,,,,,,,,,,also seperated by location and age,,,,,,,,,
Conventional,NA,NA,,1g,Animal,Bird,,,,American white ibis,Eudocimus albus,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,62,233,,,,,,,,,,,,More data on location and seasonal variability.,,,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,American wigeon,Anas americana,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,6,,,,,,,,,,,,,,,,,,,,,
Molecular,NA,NA,,<1g,Animal,Bird,,Anatidae,,,,Duck and Geese,free,Salmonella spp.,Salmonella,Salmonella,feces and fecal swab,yes,no,,,1,79,,,,,,,,,,,,," (Serotype Banana, Blockley, Group T, I 4,5,12, Javiana, Mbandaka, Newport, Norwich, Senflenberg, Thompson, Typhimurium, Typhimurium var 0 5-(Copenhagen))",,,,,,,,
Molecular,NA,NA,,<1g,Animal,Bird,,Anatidae,,,,Duck and Geese,free,Salmonella spp.,Salmonella,Salmonella,feces and fecal swab,yes,no,,,1,79,,,,,,,,,,,,," (Serotype Banana, Blockley, Group T, I 4,5,12, Javiana, Mbandaka, Newport, Norwich, Senflenberg, Thompson, Typhimurium, Typhimurium var 0 5-(Copenhagen))",,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,Anatidae,,,,Duck and Geese,free,Salmonella spp.,Salmonella,Salmonella,"feces, hunted animal",yes,no,,,ND,101,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,,Anolisimyia,,Sarcophagidae Anolisimyia sp.,,free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,1,,,1,,,,1,1,,,flies/pool,1,fly,,,,,,,,
Conventional,NA,NA,,1 g,Animal,Insect,,,Ant,,,Ant (family),free,Salmonella ,Salmonella,Salmonella,pool whole body,yes,no,,,ND,23,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,Anthomyiidae,,,Anthomyiid Lucilia sp.,Anthomyiidae (family),free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,1,,,1,,,,1,1,,,flies/pool,1,fly,,,,,,,,
Conventional,NA,NA,,NA,Animal,Insect,,Anthomyiidae,,,Anthomyiid Lucilia illustris,Anthomyiidae (family),free,Salmonella,Salmonella,Salmonella,flies ,yes,no,,,ND,2,,,2,,,,2,2,,,flies/pool,2,fly,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Ash-throated flycatcher,Myiarchus cinerascens,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,0,8,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,Band-tailed pigeon,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,2,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,1 g,Animal,Mammal,,,,Bank vole,Myodes glareolus,,free,Salmonella spp.,Salmonella,Salmonella,intestines content,yes,no,,,ND,7,,,,,,,,,,,,,,,,,,,,,
Molecular,NA,NA,,NA,Animal,Mammal,,,,Barbary macaque,Macaca sylvanus,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,69,0,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Barn owl,Tyto alba,,captive,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,ND,2,,,,,,,,,,,,Serotype data only exists for captive birds,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Barn owl,Tyto alba,,free,Salmonella,Salmonella,Salmonella,cloacal swab,yes,no,,,2,13,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,<5 g,Animal,Bird,,,,Barn owl,,,free,Salmonella spp.,Salmonella,Salmonella,feces,yes,no,,,ND,5,,,,,,,,,,,,response to oil spill,"(Arizonae III; serogroup B, strain III 53:z4,z23, and Typhimurium; serogroup C1, 6,7:1,5, Thompson, and Ohio; serogroup D, Enteritidis; and serogroup E, Liverpool)",,,,,,,,
Conventional,NA,NA,,swab,Animal,Bird,,,,Barn owl,Tyto alba,,"originally free, in clinic for treatment",Salmonella,Salmonella,Salmonella,feces,yes,no,,,ND,17,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Barn swallow,Hirundo rustica,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,38,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,variable swab/tissue sample,Animal,Bird,,,,Barn swallow,Hirundo rustica,,free,Salmonella spp.,Salmonella,Salmonella,"Cloacal swab,  small intestines content, small intestines, liver, spleen",yes,no,,,ND,308,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,swab variable,Animal,Bird,,,,Barn swallow,Hirundo rustica,,free,Salmonella spp.,Salmonella,Salmonella,Cloacal swab,yes,no,,,0,2,,,,,,,,,,,,,,,,,,,,,
Conventional,NA,NA,,NA,Animal,Bird,,,,Barn swallow,Hirundo rustica,,free,Salmonella,Salmonella,Salmonella,feces,yes,no,,,0,1,,,,,,,,,,,,,,,,,,,,,
